mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Task,Features
0.0023923397064208,0.0001860094876592,0.0030014514923095,6.700639536273629e-05,euclidean,11,uniform,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}",0.9819444444444444,0.9875,0.9819444444444444,0.9847222222222224,0.9833333333333334,0.983888888888889,0.0020786985482077,26,Binary,Raw
0.0023313522338867,2.165943234701692e-05,0.0033572196960449,2.984307364013656e-05,euclidean,11,distance,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}",0.9833333333333334,0.9875,0.9847222222222224,0.9861111111111112,0.9847222222222224,0.9852777777777778,0.0014163943093313,23,Binary,Raw
0.0022977352142333,1.7861100443908298e-05,0.0029831886291503,3.783575901961779e-06,euclidean,15,uniform,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",0.975,0.9819444444444444,0.975,0.9805555555555556,0.9763888888888888,0.977777777777778,0.0029133579115837,35,Binary,Raw
0.0023462772369384,1.4742676024256436e-05,0.0033822536468505,1.1960345905046184e-05,euclidean,15,distance,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'distance'}",0.975,0.9819444444444444,0.977777777777778,0.9819444444444444,0.9805555555555556,0.9794444444444445,0.0026931554763424,33,Binary,Raw
0.0024171352386474,7.530425816558297e-05,0.0031508922576904,8.786847432310531e-05,euclidean,21,uniform,"{'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}",0.9680555555555556,0.9763888888888888,0.9722222222222222,0.9791666666666669,0.9694444444444444,0.9730555555555556,0.0041759156606591,43,Binary,Raw
0.002343463897705,2.2619578674886463e-05,0.0034107208251953,2.8733385772562587e-05,euclidean,21,distance,"{'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'distance'}",0.9708333333333332,0.9805555555555556,0.9722222222222222,0.9791666666666669,0.9736111111111112,0.9752777777777778,0.0038689967436622,40,Binary,Raw
0.0025267601013183,0.000161928942327,0.007706880569458,0.0088287508715743,manhattan,1,uniform,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",0.9930555555555556,0.9958333333333332,0.9930555555555556,0.9930555555555556,0.9958333333333332,0.9941666666666666,0.0013608276348795,3,Binary,Raw
0.0023164749145507,2.1144381240036965e-05,0.0035598278045654,2.428922550581953e-05,manhattan,1,distance,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'distance'}",0.9930555555555556,0.9958333333333332,0.9930555555555556,0.9930555555555556,0.9958333333333332,0.9941666666666666,0.0013608276348795,3,Binary,Raw
0.0023206233978271,1.9709935741023828e-05,0.0032302856445312,2.085005575596701e-05,manhattan,3,uniform,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.9902777777777778,0.9930555555555556,0.9916666666666668,0.9888888888888888,0.9916666666666668,0.9911111111111112,0.0014163943093313,7,Binary,Raw
0.0023168087005615,2.7426055096464064e-05,0.0036438465118408,2.6259660849622875e-05,manhattan,3,distance,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.9902777777777778,0.9930555555555556,0.9916666666666668,0.9888888888888888,0.9916666666666668,0.9911111111111112,0.0014163943093313,7,Binary,Raw
0.0023239135742187,1.700738508643681e-05,0.0032443046569824,1.3328942007688523e-05,manhattan,5,uniform,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.9875,0.9930555555555556,0.9902777777777778,0.9861111111111112,0.9875,0.9888888888888888,0.0024845199749997,13,Binary,Raw
0.0023207187652587,2.087730091281316e-05,0.0036219120025634,1.970589772993045e-05,manhattan,5,distance,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.9875,0.9930555555555556,0.9902777777777778,0.9861111111111112,0.9875,0.9888888888888888,0.0024845199749997,13,Binary,Raw
0.002341604232788,2.590617267870285e-05,0.0032338142395019,1.1054603367091898e-05,manhattan,7,uniform,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.9833333333333334,0.9930555555555556,0.9888888888888888,0.9861111111111112,0.9875,0.987777777777778,0.003215510250775,18,Binary,Raw
0.002344274520874,8.355808971540882e-05,0.0036207199096679,2.3851202087357125e-05,manhattan,7,distance,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.9847222222222224,0.9930555555555556,0.9888888888888888,0.9861111111111112,0.9875,0.9880555555555556,0.0028598972613852,17,Binary,Raw
0.0022999763488769,1.0159429424465764e-05,0.003256607055664,1.4396534309114943e-05,manhattan,9,uniform,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.9819444444444444,0.9875,0.9833333333333334,0.9833333333333334,0.9847222222222224,0.9841666666666666,0.0018839805508681,25,Binary,Raw
0.0023645877838134,3.203103698991829e-05,0.0037281990051269,4.728710216706448e-05,manhattan,9,distance,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.9833333333333334,0.9875,0.9833333333333334,0.9833333333333334,0.9847222222222224,0.9844444444444445,0.0016197088596792,24,Binary,Raw
0.0024864673614501,8.271344952614444e-05,0.0033845901489257,4.20331346399967e-05,manhattan,11,uniform,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}",0.9791666666666669,0.9847222222222224,0.9791666666666669,0.9833333333333334,0.9847222222222224,0.9822222222222224,0.0025458753860865,30,Binary,Raw
0.0024374961853027,9.323923623412156e-05,0.0038372039794921,9.490360477528104e-05,manhattan,11,distance,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.9819444444444444,0.9847222222222224,0.9805555555555556,0.9833333333333334,0.9847222222222224,0.9830555555555556,0.0016197088596792,29,Binary,Raw
0.0028240203857421,0.0004594960908716,0.0038186073303222,0.0005358363146475,manhattan,15,uniform,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",0.9694444444444444,0.9805555555555556,0.9708333333333332,0.977777777777778,0.9805555555555556,0.9758333333333332,0.0047790695928014,38,Binary,Raw
0.0027104377746582,0.0005061312898007,0.0038657665252685,0.0002032564685663,manhattan,15,distance,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}",0.975,0.9819444444444444,0.975,0.9791666666666669,0.9819444444444444,0.9786111111111112,0.0031180478223116,34,Binary,Raw
0.002699327468872,0.0003693142238734,0.0037889003753662,0.0005546330621603,manhattan,21,uniform,"{'metric': 'manhattan', 'n_neighbors': 21, 'weights': 'uniform'}",0.9625,0.977777777777778,0.9666666666666668,0.9722222222222222,0.9666666666666668,0.9691666666666666,0.0052996622300941,46,Binary,Raw
0.0026321411132812,0.0003634647253076,0.0037991046905517,0.0002831716885491,manhattan,21,distance,"{'metric': 'manhattan', 'n_neighbors': 21, 'weights': 'distance'}",0.9666666666666668,0.9791666666666669,0.9694444444444444,0.975,0.975,0.9730555555555556,0.0044444444444444,42,Binary,Raw
0.0029065608978271,0.0003614955928625,0.0052165985107421,0.0030020940969066,chebyshev,1,uniform,"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}",0.9861111111111112,0.9930555555555556,0.9916666666666668,0.9902777777777778,0.9944444444444444,0.9911111111111112,0.0028598972613852,7,Binary,Raw
